Model,Method,Band,Emb,Tau,Type,Subject,NumPairs,T_stat,P_value,FastMean,SlowMean,P_FDR,Significant
1.0,0.0,0.0,2.0,1.0,0.0,1.0,23,-0.9495969591625596,0.8236834965116889,0.1560085358396976,0.1120838756506832,0.898563814376388,False
1.0,0.0,0.0,2.0,1.0,0.0,7.0,22,0.7580002857651502,0.228436771750883,0.0744186229812502,0.1171661260857968,0.7964900314019442,False
1.0,1.0,0.0,0.0,0.0,0.0,1.0,23,-0.1015412823204624,0.5399797135872341,0.0513144199300288,0.0459641295217816,0.7964900314019442,False
1.0,1.0,0.0,0.0,0.0,0.0,7.0,22,0.6238834840987227,0.2697113624475727,0.013124458734388,0.0578319614469235,0.7964900314019442,False
1.0,1.0,0.0,0.0,1.0,0.0,1.0,23,-1.284796450604548,0.8938865782819136,0.0869373611241435,0.0210606523527463,0.9162312509557636,False
1.0,1.0,0.0,0.0,1.0,0.0,7.0,22,0.1688780351561867,0.4337543209973696,0.0157115386786278,0.0255558230950293,0.7964900314019442,False
1.0,1.0,0.0,1.0,0.0,0.0,1.0,23,-0.3771223809432025,0.64515201124474,0.0612056545301635,0.0424714186014869,0.8075340904971324,False
1.0,1.0,0.0,1.0,0.0,0.0,7.0,22,0.7287826635732388,0.2370922224219005,-0.001088984954723,0.0453131850656467,0.7964900314019442,False
1.0,1.0,0.0,1.0,1.0,0.0,1.0,23,-0.686249882873987,0.7501375548688988,0.0820960624596341,0.048506354363757,0.8782098203343206,False
1.0,1.0,0.0,1.0,1.0,0.0,7.0,22,-0.052292574827504,0.5206050921144562,0.0196396988186615,0.0165366701726494,0.7964900314019442,False
1.0,1.0,0.0,2.0,0.0,0.0,1.0,23,-0.4072537077608608,0.6561214485289201,0.0595167881841266,0.0389153787148751,0.8075340904971324,False
1.0,1.0,0.0,2.0,0.0,0.0,7.0,22,0.7867840504079536,0.2200988159583252,0.0012373964871405,0.0501017936648514,0.7964900314019442,False
1.0,1.0,0.0,2.0,1.0,0.0,1.0,23,-1.3039983606114285,0.8971430998941851,0.0922546794158206,0.0278745276767855,0.9162312509557636,False
1.0,1.0,0.0,2.0,1.0,0.0,7.0,22,0.7233913135813289,0.2387102572753583,-0.0037467000073647,0.0409961351295861,0.7964900314019442,False
1.0,2.0,0.0,0.0,0.0,0.0,1.0,23,0.4982312254852393,0.311632711065372,0.1825990829648102,0.2013848735585567,0.7964900314019442,False
1.0,2.0,0.0,0.0,0.0,0.0,7.0,22,0.1833264786169212,0.4281501748684561,0.1862399910664305,0.1957739572098236,0.7964900314019442,False
1.0,2.0,0.0,0.0,1.0,0.0,1.0,23,-0.8233997503014783,0.7904412493031723,0.1919030089955734,0.1561055105734717,0.8823530224779598,False
1.0,2.0,0.0,0.0,1.0,0.0,7.0,22,0.8017793133467879,0.2158301702441156,0.1548520215497891,0.1902844265284349,0.7964900314019442,False
1.0,2.0,0.0,1.0,0.0,0.0,1.0,23,-0.3087490354374009,0.6197913901768167,0.1819103512319171,0.1696049656971003,0.804053695364519,False
1.0,2.0,0.0,1.0,0.0,0.0,7.0,22,0.6351112056676982,0.2661078473990003,0.1576211856826068,0.1849954615047019,0.7964900314019442,False
1.0,2.0,0.0,1.0,1.0,0.0,1.0,23,-0.223977665294958,0.5875791935145664,0.1850749587021613,0.1761705187076739,0.7964900314019442,False
1.0,2.0,0.0,1.0,1.0,0.0,7.0,22,0.4866531252235289,0.3157722909560616,0.1676740025326513,0.18809580430553,0.7964900314019442,False
