Model,Method,Subject,Speed,Band,Emb,Tau,Type,Score
1.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0409961351295861
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18259908296481028
1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.19190300899557353
1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1819103512319171
1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.18507495870216137
1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.17341212514829696
1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.15498124266541796
1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2013848735585567
1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1561055105734718
1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.16960496569710032
1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.176170518707674
1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.16614855086406874
1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.14686696959857404
1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.18623999106643058
1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.15485202154978917
1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.15762118568260688
1.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.16767400253265127
1.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.1502608504275242
1.0,2.0,7.0,0.0,0.0,2.0,1.0,0.0,0.1613110785487583
1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.19577395720982357
1.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.1902844265284349
1.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,0.18499546150470192
1.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,0.18809580430552997
1.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.17474079932812656
1.0,2.0,7.0,1.0,0.0,2.0,1.0,0.0,0.2135986502226368
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21363611158684992
1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08365639071077792
1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1501911377522367
1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.13218043066713245
1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.10326766064163995
1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.1734373115732713
1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13827651828256943
1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.119080100635896
1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.13889371844612317
1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.15034594984321642
1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.24816482413504143
1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.12901606638583446
1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12263324672684371
1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.10650687535225524
1.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.10760650004263522
1.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.07968898826923511
1.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.08031133772786488
1.0,3.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0768641448565305
1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.11305946879155959
1.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.125404485230641
1.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.1640286118804891
1.0,3.0,7.0,1.0,0.0,1.0,1.0,0.0,0.09694858836778458
1.0,3.0,7.0,1.0,0.0,2.0,0.0,0.0,0.15546966781534566
1.0,3.0,7.0,1.0,0.0,2.0,1.0,0.0,0.07563396914348576
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12428948877672027
2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11494031388826129
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05850288086217912
2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0885902331640258
2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12159406629892469
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.11442313675361446
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.06882380661472577
2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.08014605696420331
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.11716940709750787
2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.10537465707719995
2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.07706856318154061
2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.08692985852430472
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08372099342441099
2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06825694761796314
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.02809274233777373
2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.00995705433241454
2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.07794173967903852
2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05856795176942027
2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.02841013049147989
2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.03000016648716269
2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.07091768223296792
2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.05816556167110027
2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.021719566354900147
2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.04400486309064753
2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.02335553595357239
2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0024513136980388902
2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.007103821630055614
2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,-0.046850762486596545
2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.011280902011411558
2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,-0.013301816416084055
2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.00023960225718909248
2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,-0.038456124980818775
2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.008403141289972809
2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,-0.015250462132920984
2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.007422097635368536
2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,-0.03288330119905857
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1831311906911976
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.20136105937965681
